image_name,label
image0000.jpg,apparel
image0001.jpg,apparel
image0002.jpg,apparel
image0003.jpg,apparel
image0004.jpg,apparel
image0005.jpg,apparel
image0006.jpg,apparel
image0007.jpg,apparel
image0008.jpg,apparel
image0009.jpg,apparel
image0010.jpg,apparel
image0011.jpg,apparel
image0012.jpg,apparel
image0013.jpg,apparel
image0014.jpg,apparel
image0015.jpg,apparel
image0016.jpg,apparel
image0017.jpg,apparel
image0018.jpg,apparel
image0019.jpg,apparel
image0020.jpg,apparel
image0021.jpg,apparel
image0022.jpg,apparel
image0023.jpg,apparel
image0024.jpg,apparel
image0025.jpg,apparel
image0026.jpg,apparel
image0027.jpg,apparel
image0028.jpg,apparel
image0029.jpg,apparel
image0030.jpg,apparel
image0031.jpg,apparel
image0032.jpg,apparel
image0033.jpg,apparel
image0034.jpg,apparel
image0035.jpg,apparel
image0036.jpg,apparel
image0037.jpg,apparel
image0038.jpg,apparel
image0039.jpg,apparel
image0040.jpg,apparel
image0041.jpg,apparel
image0042.jpg,apparel
image0043.jpg,apparel
image0044.jpg,apparel
image0045.jpg,apparel
image0046.jpg,apparel
image0047.jpg,apparel
image0048.jpg,apparel
image0049.jpg,apparel
image0050.jpg,apparel
image0051.jpg,apparel
image0052.jpg,apparel
image0053.jpg,apparel
image0054.jpg,apparel
image0055.jpg,apparel
image0056.jpg,apparel
image0057.jpg,apparel
image0058.jpg,apparel
image0059.jpg,apparel
image0060.jpg,apparel
image0061.jpg,apparel
image0062.jpg,apparel
image0063.jpg,apparel
image0064.jpg,apparel
image0065.jpg,apparel
image0066.jpg,apparel
image0067.jpg,apparel
image0068.jpg,apparel
image0069.jpg,apparel
image0070.jpg,apparel
image0071.jpg,apparel
image0072.jpg,apparel
image0073.jpg,apparel
image0074.jpg,apparel
image0075.jpg,apparel
image0076.jpg,apparel
image0077.jpg,apparel
image0078.jpg,apparel
image0079.jpg,apparel
image0080.jpg,apparel
image0081.jpg,apparel
image0082.jpg,apparel
image0083.jpg,apparel
image0084.jpg,apparel
image0085.jpg,apparel
image0086.jpg,apparel
image0087.jpg,apparel
image0088.jpg,apparel
image0089.jpg,apparel
image0090.jpg,apparel
image0091.jpg,apparel
image0092.jpg,apparel
image0093.jpg,apparel
image0094.jpg,apparel
image0095.jpg,apparel
image0096.jpg,apparel
image0097.jpg,apparel
image0098.jpg,apparel
image0099.jpg,apparel
image0100.jpg,apparel
image0101.jpg,apparel
image0102.jpg,apparel
image0103.jpg,apparel
image0104.jpg,apparel
image0105.jpg,apparel
image0106.jpg,apparel
image0107.jpg,apparel
image0108.jpg,apparel
image0109.jpg,apparel
image0110.jpg,apparel
image0111.jpg,apparel
image0112.jpg,apparel
image0113.jpg,apparel
image0114.jpg,apparel
image0115.jpg,apparel
image0116.jpg,apparel
image0117.jpg,apparel
image0118.jpg,apparel
image0119.jpg,apparel
image0120.jpg,apparel
image0121.jpg,apparel
image0122.jpg,apparel
image0123.jpg,apparel
image0124.jpg,apparel
image0125.jpg,apparel
image0126.jpg,apparel
image0127.jpg,apparel
image0128.jpg,apparel
image0129.jpg,apparel
image0130.jpg,apparel
image0131.jpg,apparel
image0132.jpg,apparel
image0133.jpg,apparel
image0134.jpg,apparel
image0135.jpg,apparel
image0136.jpg,apparel
image0137.jpg,apparel
image0138.jpg,apparel
image0139.jpg,apparel
image0140.jpg,apparel
image0141.jpg,apparel
image0142.jpg,apparel
image0143.jpg,apparel
image0144.jpg,apparel
image0145.jpg,apparel
image0146.jpg,apparel
image0147.jpg,apparel
image0148.jpg,apparel
image0149.jpg,apparel
image0150.jpg,apparel
image0151.jpg,apparel
image0152.jpg,apparel
image0153.jpg,apparel
image0154.jpg,apparel
image0155.jpg,apparel
image0156.jpg,apparel
image0157.jpg,apparel
image0158.jpg,apparel
image0159.jpg,apparel
image0160.jpg,apparel
image0161.jpg,apparel
image0162.jpg,apparel
image0163.jpg,apparel
image0164.jpg,apparel
image0165.jpg,apparel
image0166.jpg,apparel
image0167.jpg,apparel
image0168.jpg,apparel
image0169.jpg,apparel
image0170.jpg,apparel
image0171.jpg,apparel
image0172.jpg,apparel
image0173.jpg,apparel
image0174.jpg,apparel
image0175.jpg,apparel
image0176.jpg,apparel
image0177.jpg,apparel
image0178.jpg,apparel
image0179.jpg,apparel
image0180.jpg,apparel
image0181.jpg,apparel
image0182.jpg,apparel
image0183.jpg,apparel
image0184.jpg,apparel
image0185.jpg,apparel
image0186.jpg,apparel
image0187.jpg,apparel
image0188.jpg,apparel
image0189.jpg,apparel
image0190.jpg,apparel
image0191.jpg,apparel
image0192.jpg,apparel
image0193.jpg,apparel
image0194.jpg,apparel
image0195.jpg,apparel
image0196.jpg,apparel
image0197.jpg,apparel
image0198.jpg,apparel
image0199.jpg,apparel
image0200.jpg,apparel
image0201.jpg,apparel
image0202.jpg,apparel
image0203.jpg,apparel
image0204.jpg,apparel
image0205.jpg,apparel
image0206.jpg,apparel
image0207.jpg,apparel
image0208.jpg,apparel
image0209.jpg,apparel
